priority,review_reason,store_id,retailer,name,current_location_type,current_venue_id,full_address,candidate_venue_id,candidate_venue_name,evidence,distance_m,automatic_action,review_status
Medium,Possible missed centre,oscar-wylee-54,Oscar Wylee,Albert St,Main Street / Street-front,,"136 Queen Street, Brisbane City, QLD 4000",qld-optiko-queen-st,Optiko – Queen St Mall,Coordinates are within 50 m of a named centre; tenancy must be confirmed,32.3,None - human review required,Pending
Medium,Possible missed centre,opsm-1662,OPSM,OPSM Glenorchy,Main Street / Street-front,,"387 - 393 Main Rd, Glenorchy, TAS, 7010",tas-northgate,Northgate Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,32.7,None - human review required,Pending
Medium,Possible missed centre,bailey-nelson-berwick,Bailey Nelson,"Bailey Nelson Berwick, Melbourne",Main Street / Street-front,,"49 High Street, Berwick, VIC, 3806",vic-eden-rise,Eden Rise Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,36.3,None - human review required,Pending
Medium,Possible missed centre,independent-other-optical-provision-177064,Independent / Other optical,Eye Studio Optometrists,Main Street / Street-front,,"39 Burrendah Boulevard, Willetton, Western Australia, 6155",wa-boulevarde-homeco-southlands,HomeCo. Southlands Boulevarde,Coordinates are within 50 m of a named centre; tenancy must be confirmed,37.1,None - human review required,Pending
Medium,Possible missed centre,specsavers-3432,Specsavers,Brisbane CBD - Albert St,Main Street / Street-front,,"197 Albert St, Brisbane, QLD, 4000",qld-optiko-queen-st,Optiko – Queen St Mall,Coordinates are within 50 m of a named centre; tenancy must be confirmed,37.1,None - human review required,Pending
Medium,Possible missed centre,opsm-1572,OPSM,OPSM Edwardstown,Main Street / Street-front,,"992 South Rd, Edwardstown, SA, 5039",sa-castle-edwardstown-plaza,Edwardstown Castle Plaza Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,37.5,None - human review required,Pending
Medium,Possible missed centre,opsm-4719,OPSM,OPSM Jesmond,Main Street / Street-front,,"28 Blue Gum Rd, Jesmond, NSW, 2299",nsw-stockland,Stockland Mall,Coordinates are within 50 m of a named centre; tenancy must be confirmed,38.6,None - human review required,Pending
Medium,Possible missed centre,opsm-1422,OPSM,OPSM Firle 2,Main Street / Street-front,,"171 Glynburn Rd, Firle, SA, 5070",sa-firle-plaza,Firle Plaza,Coordinates are within 50 m of a named centre; tenancy must be confirmed,39.3,None - human review required,Pending
Medium,Adjacent centre check,independent-other-optical-provision-17060,Independent / Other optical,Family Eyecare,Shopping Centre,vic-road,"424 Centre Road, Bentleigh, Victoria, 3204",vic-rd,Centre Rd,Coordinates are within 50 m of a named centre; tenancy must be confirmed,41.1,None - human review required,Pending
Medium,Possible missed centre,opsm-1149,OPSM,OPSM Ringwood,Main Street / Street-front,,"171 - 175 Maroondah Hwy, Ringwood, VIC, 3134",vic-eastland,Eastland,Coordinates are within 50 m of a named centre; tenancy must be confirmed,44.7,None - human review required,Pending
Medium,Possible missed centre,opsm-1268,OPSM,OPSM Sunnybank,Main Street / Street-front,,"Cnr Mains Rd & Mccullough St, Sunnybank, QLD, 4109",qld-plaza-sunnybank,Sunnybank Plaza,Coordinates are within 50 m of a named centre; tenancy must be confirmed,45.7,None - human review required,Pending
Medium,Possible missed centre,opsm-4636,OPSM,OPSM Kwinana,Main Street / Street-front,,"4 Chisham Ave, Kwinana, WA, 6167",wa-kwinana-marketplace,Kwinana Marketplace,Coordinates are within 50 m of a named centre; tenancy must be confirmed,45.8,None - human review required,Pending
Low,Possible missed centre,opsm-1085,OPSM,OPSM Burleigh Heads,Main Street / Street-front,,"149 West Burleigh Rd, Burleigh Heads, QLD, 4220",qld-burleigh-heads-stockland,Burleigh Heads Stockland,Coordinates are within 125 m of a named centre; proximity is not proof,50.6,None - human review required,Pending
Low,Possible missed centre,opsm-1404,OPSM,OPSM Joondalup,Unclassified,,"420 Joondalup Dr, Joondalup, WA, 6027",wa-lakeside,Lakeside Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,51.2,None - human review required,Pending
Low,Adjacent centre check,bailey-nelson-adelaide-arcade,Bailey Nelson,Bailey Nelson Adelaide Arcade,Shopping Centre,sa-adelaide-arcade,"111-117 Rundle Mall, Adelaide Arcade, Adelaide, SA, 5000",sa-adelaide-rundle,Adelaide Rundle Mall,Coordinates are within 125 m of a named centre; proximity is not proof,51.5,None - human review required,Pending
Low,Possible missed centre,opsm-1376,OPSM,OPSM Adelaide Rundle Mall,Shopping Centre,sa-adelaide-rundle,"71 Rundle Mall, Adelaide, SA, 5000",sa-adelaide-arcade,Adelaide Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,51.5,None - human review required,Pending
Low,Possible missed centre,opsm-nz-1642,OPSM,OPSM West City,Main Street / Street-front,,"7 Catherine St, Henderson, AKL, 0612",auckland-waitakere-westcity,WestCity Waitakere Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,52.4,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-osm-au-node-12743733613,Independent / Other optical,Options Optometrists Warnbro,Main Street / Street-front,,"206 Warnbro Sound Avenue, Warnbro, 6169, Australia",wa-warnbro,Warnbro Centre,Coordinates are within 125 m of a named centre; proximity is not proof,55.5,None - human review required,Pending
Low,Adjacent centre check,specsavers-3642,Specsavers,Seaford,Shopping Centre,,"108 Commercial Road, Shop 15, Seaford Central,, Seaford, SA, 5169",sa-seaford,Seaford Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,56.0,None - human review required,Pending
Low,Adjacent centre check,specsavers-3218,Specsavers,Southland Westfield Lvl 1,Shopping Centre,vic-southland-westfield,"1004-1005 Westfield Southland, 1239 Nepean Highway, Cheltenham, VIC, 3192",vic-westfield,Westfield Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,60.7,None - human review required,Pending
Low,Possible missed centre,opsm-2352,OPSM,OPSM MELTON,Main Street / Street-front,,"Cnr High & Coburn Rd, Melton, VIC, 3337",vic-woodgrove,Woodgrove Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,61.4,None - human review required,Pending
Low,Possible missed centre,opsm-2296,OPSM,OPSM Port Macquarie,Main Street / Street-front,,"Cnr Park & Bay St, Port Macquarie, NSW, 2444",nsw-city-settlement,Settlement City Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,62.7,None - human review required,Pending
Low,Possible missed centre,opsm-1513,OPSM,OPSM Albert St Brisbane,Main Street / Street-front,,"186 Albert St, Brisbane, QLD, 4000",qld-optiko-queen-st,Optiko – Queen St Mall,Coordinates are within 125 m of a named centre; proximity is not proof,63.6,None - human review required,Pending
Low,Possible missed centre,eyecare-plus-674,Eyecare Plus,Eyecare Plus Optometrists Sydney CBD,Main Street / Street-front,,"Suite 17, Level 4, 428 George Street, Sydney, NSW, 2000",nsw-arcade-strand-the,The Strand Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,63.8,None - human review required,Pending
Low,Possible missed centre,opsm-2966,OPSM,OPSM Rhodes,Unclassified,,"1 Rider Blvd, Rhodes, NSW, 2138",nsw-rhodes-waterside,Rhodes Waterside Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,63.8,None - human review required,Pending
Low,Possible missed centre,opsm-1666,OPSM,OPSM Kingsmeadow,Main Street / Street-front,,"106 Hobart Rd, Kings Meadows, TAS, 7249",tas-meadow-mews-plaza,Meadow Mews Plaza,Coordinates are within 125 m of a named centre; proximity is not proof,64.0,None - human review required,Pending
Low,Possible missed centre,specsavers-3471,Specsavers,Jesmond Central,Main Street / Street-front,,"004/28 Blue Gum Rd, Jesmond, NSW, 2299",nsw-stockland,Stockland Mall,Coordinates are within 125 m of a named centre; proximity is not proof,66.3,None - human review required,Pending
Low,Adjacent centre check,specsavers-3212,Specsavers,Tea Tree Plaza,Shopping Centre,sa-plaza-tea-tree,"Shop 2-3 Westfield Tea Tree Plaza, 976 North East Rd, Modbury, SA, 5092",sa-westfield,Westfield Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,71.1,None - human review required,Pending
Low,Possible missed centre,opsm-1015,OPSM,OPSM Wollongong,Main Street / Street-front,,"200 Crown St, Wollongong, NSW, 2500",nsw-crown-st,Crown St Mall,Coordinates are within 125 m of a named centre; proximity is not proof,71.2,None - human review required,Pending
Low,Possible missed centre,opsm-7046,OPSM,OPSM Berwick,Main Street / Street-front,,"57 High St, Berwick, VIC, 3806",vic-eden-rise,Eden Rise Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,71.2,None - human review required,Pending
Low,Possible missed centre,opsm-2280,OPSM,OPSM Mirrabooka,Unclassified,,"43 Yirrigan Dr, Mirrabooka, WA, 6061",wa-mirrabooka-square,Mirrabooka Square Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,72.3,None - human review required,Pending
Low,Possible missed centre,bailey-nelson-hobart,Bailey Nelson,Bailey Nelson Hobart,Main Street / Street-front,,"35 Murray Street, Hobart, TAS, 7000",tas-and-arcade-cat-fiddle-the,The Cat & Fiddle Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,72.7,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-17290,Independent / Other optical,Pakenham Optical,Main Street / Street-front,,"120 Main Street, Pakenham, Victoria, 3810",vic-central-marketplace-pakenham,Pakenham Central Marketplace,Coordinates are within 125 m of a named centre; proximity is not proof,73.1,None - human review required,Pending
Low,Possible missed centre,opsm-1167,OPSM,OPSM Maryborough,Main Street / Street-front,,"142 Lennox St, Maryborough, QLD, 4650",qld-square-station,Station Square Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,74.5,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-186700,Independent / Other optical,Spectacle Hub – Caroline Springs,Main Street / Street-front,,"Spectacle Hub - Caroline Springs, Lake Street, Caroline Springs VIC, Australia, Caroline Springs, Victoria, 3023",vic-caroline-springs-square,Caroline Springs Square,Coordinates are within 125 m of a named centre; proximity is not proof,74.8,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-326334,Independent / Other optical,Design Eyewear,Main Street / Street-front,,"66A Gawler Place, Adelaide, South Australia, 5000",sa-adelaide-rundle,Adelaide Rundle Mall,Coordinates are within 125 m of a named centre; proximity is not proof,76.5,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-16787,Independent / Other optical,Lifestyle Optical,Main Street / Street-front,,"Shop LG18, The Galeries, Shop 2004, 188 Pitt Street, Sydney, New South Wales, 2000",nsw-pitt-street,Pitt Street Mall,Coordinates are within 125 m of a named centre; proximity is not proof,78.1,None - human review required,Pending
Low,Possible missed centre,bupa-optical-13626262,Bupa Optical,Bupa Optical & Hearing Hobart,Main Street / Street-front,,"112 Liverpool St, Hobart, TAS, 7000, Australia",tas-and-arcade-cat-fiddle-hobart,Cat & Fiddle Arcade Hobart,Coordinates are within 125 m of a named centre; proximity is not proof,79.0,None - human review required,Pending
Low,Adjacent centre check,1001-optometry-7298798,1001 Optometry,1001 Optometry Melbourne - Emporium,Main Street / Street-front,,"Shop no. 3-034, Emporium Melbourne, 287 Lonsdale St, Melbourne, VIC, 3000, Australia",vic-central-melbourne,Melbourne Central Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,80.9,None - human review required,Pending
Low,Adjacent centre check,bupa-optical-35589156,Bupa Optical,Bupa Optical & Hearing Melbourne Emporium,Shopping Centre,vic-emporium,"287 Lonsdale Street, Emporium Shopping Centre, Shop T3 – 013, Melbourne, VIC, 3000, Australia",vic-central-melbourne,Melbourne Central Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,80.9,None - human review required,Pending
Low,Adjacent centre check,specsavers-3397,Specsavers,Melbourne Central S/C - CBD,Shopping Centre,vic-central-melbourne,"LG 51/211 La Trobe Street, Melbourne Central Shopping Centre, Melbourne, VIC, 3000",vic-emporium,Emporium Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,80.9,None - human review required,Pending
Low,Adjacent centre check,bailey-nelson-melbourne-cbd,Bailey Nelson,Bailey Nelson Melbourne Central,Main Street / Street-front,,"211 La Trobe St, Melbourne, VIC, 3000",vic-emporium,Emporium Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,81.2,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-16825,Independent / Other optical,Eye See Eyes,Main Street / Street-front,,"247 Summer St, Orange, New South Wales, 2800",nsw-central-orange,Orange Central Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,82.9,None - human review required,Pending
Low,Possible missed centre,opsm-1009,OPSM,OPSM Tuggeranong,Main Street / Street-front,,"Cnr Pitman St & Anketell St, Tuggeranong, ACT, 2900",act-point-south,South Point Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,82.9,None - human review required,Pending
Low,Possible missed centre,bailey-nelson-fremantle,Bailey Nelson,Bailey Nelson Fremantle,Main Street / Street-front,,"71 Market Street, Fremantle, WA, 6160",wa-arcade-manning,Manning Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,83.5,None - human review required,Pending
Low,Possible missed centre,opsm-2293,OPSM,OPSM Hobart Collins St,Main Street / Street-front,,"140 Collins St, Hobart, TAS, 7000",tas-and-arcade-cat-fiddle-the,The Cat & Fiddle Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,91.2,None - human review required,Pending
Low,Possible missed centre,bupa-optical-13626244,Bupa Optical,Bupa Optical & Hearing Brisbane,Main Street / Street-front,,"Queen Adelaide Building, 59 Adelaide Street, Brisbane City, QLD, 4000, Australia",qld-optiko-queen-st,Optiko – Queen St Mall,Coordinates are within 125 m of a named centre; proximity is not proof,92.2,None - human review required,Pending
Low,Possible missed centre,george-matilda-478,George & Matilda,George & Matilda Eyecare for My Optical,Main Street / Street-front,,"95 Grafton Street, Warwick, QLD, 4370, Australia",qld-city-rose,Rose City Shoppingworld,Coordinates are within 125 m of a named centre; proximity is not proof,93.4,None - human review required,Pending
Low,Possible missed centre,eyecare-plus-636,Eyecare Plus,Eyecare Plus Optometrists Manuka,Main Street / Street-front,,"Shop 31 & 32 Manuka Terrace, 18 Flinders Way, Manuka, ACT, 2603",act-m,M Centre,Coordinates are within 125 m of a named centre; proximity is not proof,95.0,None - human review required,Pending
Low,Possible missed centre,opsm-1273,OPSM,OPSM Morayfield,Main Street / Street-front,,"171 Morayfield Rd, Morayfield, QLD, 4506",qld-morayfield,Morayfield Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,98.6,None - human review required,Pending
Low,Possible missed centre,opsm-1056,OPSM,OPSM Narellan,Unclassified,,"326 Camden Valley Way, Narellan, NSW, 2567",nsw-narellan-town,Narellan Town Centre,Coordinates are within 125 m of a named centre; proximity is not proof,100.6,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-17346,Independent / Other optical,My Optometrist,Main Street / Street-front,,"Level 2, Shop 250, , 270 Canterbury Road, Forest Hill, Victoria, 3131",vic-chase-forest-hill,Forest Hill Chase,Coordinates are within 125 m of a named centre; proximity is not proof,101.4,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-164178,Independent / Other optical,Robert Tesoriero Optometrist,Main Street / Street-front,,"Shop 1, 822 Anzac Parade, Maroubra Junction, New South Wales, 2035",nsw-pacific-square,Pacific Square Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,101.5,None - human review required,Pending
Low,Possible missed centre,specsavers-nz-3852,Specsavers,Blenheim,Main Street / Street-front,,"67 Market Street, Blenheim Central, Blenheim, 7201",marlborough-forum-the,The Forum,Coordinates are within 125 m of a named centre; proximity is not proof,101.7,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-35740,Independent / Other optical,Lamas and Brown Optometrists,Main Street / Street-front,,"7 Commercial Road, Alstonville, New South Wales, 2477",nsw-alstonville-plaza,Alstonville Plaza,Coordinates are within 125 m of a named centre; proximity is not proof,103.4,None - human review required,Pending
Low,Possible missed centre,opsm-1191,OPSM,OPSM Palmerston,Main Street / Street-front,,"1 Roystonea Ave, Yarrawonga, NT, 0830",nt-gateway,Gateway Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,104.8,None - human review required,Pending
Low,Possible missed centre,opsm-1514,OPSM,OPSM Seaford,Unclassified,,"Commercial Rd & The Prde, Seaford, SA, 5169",sa-seaford,Seaford Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,104.8,None - human review required,Pending
Low,Possible missed centre,opsm-1076,OPSM,OPSM Runaway Bay,Unclassified,,"10 - 12 Lae Dr, Runaway Bay, QLD, 4216",qld-bay-runaway-village,Runaway Bay Shopping Village,Coordinates are within 125 m of a named centre; proximity is not proof,106.7,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-osm-au-node-13067885816,Independent / Other optical,Aryoo Eyewear,Unclassified,,Australia,sa-rundle,Rundle Mall,Coordinates are within 125 m of a named centre; proximity is not proof,107.6,None - human review required,Pending
Low,Possible missed centre,optical-superstore-153507,Optical Superstore,Morley Collier Rd,Main Street / Street-front,,"Unit 3, 15-21 Collier Road, Morley, WA, 6062",wa-gateway-morley,Morley Gateway Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,108.8,None - human review required,Pending
Low,Possible missed centre,opsm-1336,OPSM,OPSM Cairns Central,Main Street / Street-front,,"1-21 Mcleod St, Cairns, QLD, 4870",qld-cairns,Cairns Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,109.8,None - human review required,Pending
Low,Possible missed centre,george-matilda-420,George & Matilda,George & Matilda Eyecare – Gosford,Main Street / Street-front,,"30 William Street, Gosford, NSW, 2250, Australia",nsw-imperial,Imperial Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,112.7,None - human review required,Pending
Low,Adjacent centre check,opsm-1081,OPSM,OPSM West Lakes,Shopping Centre,sa-blvd-lakes-west,"111 West Lakes Mall Blvd, West Lakes, SA, 5021",sa-westlakes,Westlakes Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,113.8,None - human review required,Pending
Low,Adjacent centre check,optical-superstore-63129,Optical Superstore,Westlakes S/C,Shopping Centre,sa-westlakes,"111, Shop 243,, Westfield West Lakes,, West Lakes, SA, 5021",sa-blvd-lakes-west,West Lakes Mall Blvd,Coordinates are within 125 m of a named centre; proximity is not proof,113.8,None - human review required,Pending
Low,Adjacent centre check,specsavers-3526,Specsavers,Rouse Hill Town Centre,Shopping Centre,nsw-hill-rouse-town,"Shop GR 058/59, Rouse Hill Town Centre, Corner Windsor Road & White Hart Drive, Rouse Hill, NSW, 2155",nsw-market-place,Market Place,Coordinates are within 125 m of a named centre; proximity is not proof,114.1,None - human review required,Pending
Low,Possible missed centre,george-matilda-470,George & Matilda,George & Matilda Eyecare for Maroubra Optometrists,Main Street / Street-front,,"874 Anzac Parade, Maroubra, NSW, 2035, Australia",nsw-junction-maroubra,Maroubra Junction,Coordinates are within 125 m of a named centre; proximity is not proof,114.4,None - human review required,Pending
Low,Possible missed centre,independent-other-optical-provision-34119,Independent / Other optical,6D Vision,Unclassified,,"Shop 3, 599 Kingsway, Miranda, New South Wales, 2228",nsw-miranda-westfield,Westfield Miranda,Coordinates are within 125 m of a named centre; proximity is not proof,120.2,None - human review required,Pending
Low,Adjacent centre check,george-matilda-504,George & Matilda,George & Matilda Eyecare for Tin Wong Optometrists,Shopping Centre,qld-park-sunny,"Shop 3a, Sunny Park Shopping Centre, Cnr Mains Rd and McCullough St, Sunnybank, QLD, 4109, Australia",qld-plaza-sunnybank,Sunnybank Plaza,Coordinates are within 125 m of a named centre; proximity is not proof,120.5,None - human review required,Pending
Low,Adjacent centre check,specsavers-3479,Specsavers,Sunnybank Plaza,Shopping Centre,qld-plaza-sunnybank,"Shop 13 Sunnybank Plaza S/C, Cnr Mains Road and McCollough St, Sunnybank, QLD, 4109",qld-park-sunny,Sunny Park Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,120.5,None - human review required,Pending
Low,Possible missed centre,george-matilda-395,George & Matilda,Eyelines Optometrists Hobart,Main Street / Street-front,,"137 Liverpool St, Hobart, TAS, 7000, Australia",tas-and-arcade-cat-fiddle-hobart,Cat & Fiddle Arcade Hobart,Coordinates are within 125 m of a named centre; proximity is not proof,120.6,None - human review required,Pending
Low,Possible missed centre,opsm-1083,OPSM,OPSM Fremantle,Main Street / Street-front,,"89 Market St, Fremantle, WA, 6160",wa-arcade-manning,Manning Arcade,Coordinates are within 125 m of a named centre; proximity is not proof,121.0,None - human review required,Pending
Low,Possible missed centre,opsm-1464,OPSM,OPSM Wintergarden,Main Street / Street-front,,"170-209 Queen St, Brisbane, QLD, 4000",qld-optiko-queen-st,Optiko – Queen St Mall,Coordinates are within 125 m of a named centre; proximity is not proof,122.3,None - human review required,Pending
Low,Possible missed centre,specsavers-3637,Specsavers,St Ives,Main Street / Street-front,,"196 Mona Vale Rd, St Ives, NSW, 2075",nsw-ives-st,St Ives Shopping Centre,Coordinates are within 125 m of a named centre; proximity is not proof,123.1,None - human review required,Pending
